PRESENT_SN,LCLAS_CL,MLSFC_CL,SCLAS_CL,ATRB_SE,WTNNC_SN,NTFC_SN,DGM_NM,DGM_AR,DGM_LT,SIGNGU_SE,DRAWING_NO,CREATE_DAT,SHAPE_AREA,SHAPE_LEN,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
11000UQ181PS202307180001,UQ5100,UQ5120,,UQ5120,11000AGZ202212210003,11110NTC202306160001,돈의문 재정비촉진지구,168226.98540098,2630.98847153,"11000",,2023/07/18,168226.98540100001,2630.98847153000,"11110177","11110",평동,366
11000UQ181PS202307180002,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ201708039258,11110NTC202306160001,돈의문2재정비촉진구역,6781.90534864,439.52929484,"11000",,2023/07/18,6781.90534864000,439.52929484100,"11110177","11110",평동,366
11110UQ181PS202009110002,UQ1200,UQ1220,UQ1222,UQ1222,11110AGZ202008280006,11110NTC202008280001,도시환경정비사업구역,8828.44653651,411.24321969,"11110",,2020/09/11,8828.44653650000,411.24321968600,"11110177","11110",평동,366
11000UQ181PS202407190019,UQ5100,UQ5140,,UQ5140,11000AGZ202311290019,11000NTC202407080002,2구역,38851.25800900,786.17084540,"11000",,2024/07/19,38851.25837940000,786.17094193400,"11110156","11110",종로3가,365
11000UQ181PS201912150048,UQ5100,UQ5120,,UQ5120,11000AGZ201809200109,11000NTC201806212805,세운재정비촉진지구(중심지형),416826.25452197,4297.76381886,"11000",,2019/12/15,416826.25452199997,4297.76381886000,"11110156","11110",종로3가,365
11000UQ181PS201912150048,UQ5100,UQ5120,,UQ5120,11000AGZ201809200109,11000NTC201806212805,세운재정비촉진지구(중심지형),416826.25452197,4297.76381886,"11000",,2019/12/15,416826.25452199997,4297.76381886000,"11110156","11110",종로3가,365
11110UQ181PS202405270001,UQ1200,UQ1220,UQ1222,UQ1222,11110AGZ202304250001,11110NTC202402050004,관수동일대도시정비형재개발구역,41304.50669612,802.16311962,"11110",,2024/05/27,41304.50667710000,802.16313244000,"11110156","11110",종로3가,365
11000UQ181PS201912151820,UQ1900,,,UQ1900,11000AGZ195410145238,11000NTC195410149946,종오(중앙1지구)토지구획정리사업,73947.91176643,1668.64089966,"11000",,2019/12/15,73947.91176639999,1668.64089966000,"11110161","11110",종로4가,364
11000UQ181PS201912150927,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ200402054261,11000NTC200402055681,세운재정비촉진지구4구역도시환경정,33244.50366893,722.01538040,"11000",,2019/12/15,33244.50366890000,722.01538040300,"11110161","11110",종로4가,364
11000UQ181PS201912151820,UQ1900,,,UQ1900,11000AGZ195410145238,11000NTC195410149946,종오(중앙1지구)토지구획정리사업,73947.91176643,1668.64089966,"11000",,2019/12/15,73947.91176639999,1668.64089966000,"11110161","11110",종로4가,364
11000UQ181PS201912150927,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ200402054261,11000NTC200402055681,세운재정비촉진지구4구역도시환경정,33244.50366893,722.01538040,"11000",,2019/12/15,33244.50366890000,722.01538040300,"11110161","11110",종로4가,364
11000UQ181PS201912150048,UQ5100,UQ5120,,UQ5120,11000AGZ201809200109,11000NTC201806212805,세운재정비촉진지구(중심지형),416826.25452197,4297.76381886,"11000",,2019/12/15,416826.25452199997,4297.76381886000,"11110161","11110",종로4가,364
11000UQ181PS201912150048,UQ5100,UQ5120,,UQ5120,11000AGZ201809200109,11000NTC201806212805,세운재정비촉진지구(중심지형),416826.25452197,4297.76381886,"11000",,2019/12/15,416826.25452199997,4297.76381886000,"11110161","11110",종로4가,364
11000UQ181PS202407190040,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202311290040,11000NTC202407080002,4구역,32157.01387434,696.17396582,"11000",,2024/07/19,32157.01249090000,696.17391574200,"11110161","11110",종로4가,364
11000UQ181PS201912150993,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ199608100795,11000NTC199608106286,서린17-2구역도시환경정비사업,848.34636590,123.61483012,"11000",,2019/12/15,848.34636590000,123.61483012500,"11110123","11110",서린동,363
11110UQ181PS202412160001,UQ1200,UQ1230,UQ1232,UQ1232,11110AGZ202404080001,11110NTC202412100001,서린구역 제3·4·5지구 도시정비형 재개발사업,2717.56247715,215.39553070,"11110",,2024/12/16,2717.56263630000,215.39555767100,"11110123","11110",서린동,363
11000UQ181PS201912150723,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ198408132239,11000NTC198408136236,서린2구역도시환경정비사업,1842.26430048,178.78074018,"11000",,2019/12/15,1842.26430050000,178.78074017500,"11110123","11110",서린동,363
11000UQ181PS201912150831,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ198408132216,11000NTC198408136236,서린18구역도시환경정비사업,2238.05026197,191.53037613,"11000",,2019/12/15,2238.05026200000,191.53037613300,"11110123","11110",서린동,363
11000UQ181PS201912150819,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ198408132220,11000NTC198408136236,서린10구역도시환경정비사업,1246.19410501,141.28331688,"11000",,2019/12/15,1246.19410500000,141.28331687800,"11110123","11110",서린동,363
11000UQ181PS201912150950,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ198411052263,11000NTC198411056397,서린1구역도시환경정비사업,2189.13498180,192.45466745,"11000",,2019/12/15,2189.13498175000,192.45466744800,"11110123","11110",서린동,363
11000UQ181PS201912150993,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ199608100795,11000NTC199608106286,서린17-2구역도시환경정비사업,848.34636590,123.61483012,"11000",,2019/12/15,848.34636590000,123.61483012500,"11110123","11110",서린동,363
11000UQ181PS201912150839,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ198408132214,11000NTC198408136236,서린11구역도시환경정비사업,2579.16899006,209.07252356,"11000",,2019/12/15,2579.16899010000,209.07252355900,"11110123","11110",서린동,363
